City,PostType,Price,Rooms,SqMetrage,Title,SqMetrageBucket,Urgency,PricePerSqM
Warszawa,Company post,575800.0,3,47.6,Sprzedam 3 pokojowe mieszkanie na Bielanach,30-49,Normal,12096.638655462184
Pruszków,Company post,330000.0,2,35.6,Jasne dwupokojowe mieszkanie z pięknym widokiem,30-49,Normal,9269.662921348314
Gdynia,Company post,899000.0,4,67.12,Mieszkanie w Gdyni Orłowo z ogródkiem,50-74,Normal,13393.921334922527
Warszawa,Company post,667500.0,2,44.5,Mieszkanie na Rakowcu koło Fortów Korotyńskiego,30-49,Normal,15000.0
Warszawa,Company post,519000.0,3,52.0,Nowoczesne 3pok na Rodzinnym osiedlu -ul. Ku Rzece,50-74,Normal,9980.76923076923
Rzeszów,Company post,358764.0,2,42.71,Mieszkanie Osiedle Architektów B2.6.M108,30-49,Normal,8400.0
Rzeszów,Company post,380000.0,2,52.1,Mieszkanie 2 pokojowe Hetmańska,50-74,Normal,7293.666026871401
Kalisz,Company post,330000.0,3,60.85,"Świetna lokalizacja, 3 pokoje, duży balkon",50-74,Normal,5423.171733771569
Rzeszów,Company post,279588.0,2,30.39,Wygodne Mieszkanie na Osiedlu Architektów A2.5.M90,30-49,Normal,9200.0
Bydgoszcz,Company post,440000.0,3,55.0,Bydgoszcz Mieszkanie z Mega potencjałem! Jurasz,50-74,Normal,8000.0
Sopot,Company post,1999500.0,3,87.0,Mieszkanie - Sopot Dolny,75-100,Normal,22982.758620689656
Radzymin,Company post,430000.0,5,104.38,Dwupoziomowe z 2 miejscami postojowymi i ogródkiem,>100,Normal,4119.5631347001345
Rzeszów,Company post,524525.0,3,65.73,Wygodne Mieszkanie na Osiedlu Architektów B1.8.M51,50-74,Normal,7979.9939144987065
Częstochowa,Company post,199000.0,1,30.0,Kawalerka na sprzedaż idealna pod inwestycję,30-49,Normal,6633.333333333333
Częstochowa,Company post,289000.0,3,56.8,"Super lokalizacja, M4 na Tysiącleciu !",50-74,Normal,5088.028169014085
Warszawa,Company post,625000.0,1,35.0,"Warszawa, Wola, Kawalerka 35m2",30-49,Normal,17857.14285714286
Częstochowa,Company post,299000.0,2,51.0,Atrakcyjne mieszkanie w Centrum !,50-74,Normal,5862.745098039216
Częstochowa,Company post,390000.0,3,61.0,"Wysoki standard, stylowe mieszkanie na Północy",50-74,Normal,6393.44262295082
Częstochowa,Company post,175000.0,1,20.0,Kawalerka w ścisłym Centrum / 3.piętro z windą,<30,Normal,8750.0
Częstochowa,Company post,247000.0,2,49.0,Przestronne M-3 na 2.piętrze / 49m2 / Tysiąclecie,30-49,Normal,5040.816326530612
Mysłowice,Company post,369000.0,2,59.0,"Nowe mieszkanie pod klucz, ogrzewanie podłogowe",50-74,Normal,6254.237288135593
Częstochowa,Company post,187000.0,1,25.7,Idealne M2 blisko centrum,<30,Normal,7276.264591439689
Częstochowa,Company post,245000.0,2,40.0,Mieszkanie 2 pokoje na tysiącleciu,30-49,Normal,6125.0
Częstochowa,Company post,330000.0,4,67.4,"Przestronne M5, świetna lokalizacja",50-74,Normal,4896.142433234421
Częstochowa,Company post,770000.0,3,85.0,"Wysoki standard, doskonała lokalizacja Parkitka",75-100,Normal,9058.823529411764
Częstochowa,Company post,449000.0,4,107.0,"Mieszkanie, 107 m², Częstochowa",>100,Normal,4196.261682242991
Częstochowa,Company post,139000.0,1,23.0,Kawalerka po generalnym remoncie,<30,Normal,6043.478260869565
Radzymin,Company post,360000.0,3,48.24,Parter 3 pokoje ogródek i 2 miejsca postojowe,30-49,Normal,7462.686567164179
Kraków,Company post,408377.0,2,32.54,2-pokojowe mieszkanie 32m2 + loggia Bezpośrednio,30-49,Normal,12550.0
Lublin,Company post,,2,37.07,Ustawne Mieszkanie Rezydencja Ogród Saski | D5.5,30-49,Normal,
Łódź,Company post,547992.0,3,76.11,"Ostoja Park - 76 m2, duże sypialnie",75-100,Normal,7200.0
Szczecin,Company post,409000.0,2,37.0,"Oś Bukowe, ul. Beżowa, 2 pok, 409 tys !!",30-49,Normal,11054.054054054053
Świątniczki,Company post,350000.0,2,40.2,"Krzesiny BEZCZYNSZOWE 40,2 m2 , z OGRODEM 747 m2",30-49,Normal,8706.467661691542
Kraków,Company post,570000.0,2,50.0,"Mieszkanie 50m2 2 pok, Pychowice, Kampus UJ",50-74,Normal,11400.0
Wrocław,Company post,799000.0,4,79.5,"Słoneczne 4 pokoje po GEN. REMONCIE, dwustronne",75-100,Normal,10050.314465408805
Kielce,Company post,439999.0,4,59.7,Mieszkanie 3 pokojowe Barwinek Kochanowskiego,50-74,Normal,7370.167504187604
Wrocław,Company post,324000.0,2,37.0,Nowe 2 pokoje dla INWESTORA lub pierwsze mieszkani,30-49,Normal,8756.756756756757
Skarszewy,Company post,319000.0,2,60.6,"Sprzedam mieszkanie 60,6 M2",50-74,Normal,5264.026402640264
Nowy Targ,Company post,315000.0,2,37.0,Mieszkanie 37m Parter . Bezpośrednio !!,30-49,Normal,8513.513513513513
Rzeszów,Company post,314244.0,2,37.41,Mieszkanie Osiedle Architektów B3.2.M122,30-49,Normal,8400.0
Jarocin,Company post,486000.0,4,71.0,Gotowy pod klucz DOM Z OGRODEM,50-74,Normal,6845.070422535211
Łódź,Company post,900000.0,4,168.0,"Apartament 168 m2 z pięknym ogrodem, wizualizacje",>100,Normal,5357.142857142857
Koło,Company post,317000.0,2,44.0,Koło ulica Leśna 44m2 z balkonem,30-49,Normal,7204.545454545455
Jabłowo,Company post,199000.0,2,47.0,Mieszkanie 2 pokojowe z garażem i ogródkiem,30-49,Normal,4234.04255319149
Lublin,Company post,320000.0,1,38.93,"Lublin, Centrum, ul. Krucza",30-49,Normal,8219.881839198562
Warszawa,Company post,545000.0,1,26.0,Umeblowana kawalerka przy Parku Skaryszewskim,<30,Normal,20961.53846153846
Łomnica,Company post,350000.0,2,40.0,Osada Śnieżka z umową najmu,30-49,Normal,8750.0
Warszawa,Company post,510000.0,3,57.0,"Pabla Nerudy, 3 oddzielne pokoje, 57m",50-74,Normal,8947.368421052632
Jawor,Company post,379600.0,3,58.4,Nowoczesne mieszkania w Parku - Jawor,50-74,Normal,6500.0
Wieliczka,Company post,402315.0,3,50.5,ok.60tys RABATU +PARKING Gratis -> GOTOWY budynek,50-74,Normal,7966.633663366337
Radom,Company post,719000.0,4,80.4,4 pok. apartament - Osiedle Ogrody - ul. Wyścigowa,75-100,Normal,8942.78606965174
Kraków,Company post,,3,54.97,"Mieszkanie, Stare Podgórze, ul. Rękawka 32",50-74,Normal,
Wrocław,Company post,539000.0,2,48.0,Mieszkanie Wrocław - Rumiankowa - BEZ POŚREDNIKÓW,30-49,Normal,11229.166666666666
Poznań,Company post,4250000.0,3,106.0,Prestiżowy Apartament Towarowa 37 Poznań,>100,Normal,40094.339622641506
Warszawa,Company post,325000.0,1,26.0,BEZPOŚREDNIO Kawalerka 26 m2 Metro Wawrzyszew,<30,Normal,12500.0
Warszawa,Company post,1208500.0,3,103.5,Apartament przy parku Cietrzewia,>100,Normal,11676.32850241546
Poznań,Company post,469728.0,2,48.6,2-pokojowe mieszkanie 48m2 + balkon Bezpośrednio,30-49,Normal,9665.185185185184
Zabrze,Company post,,2,44.0,2-pokojowe mieszkanie 44m2 + balkon Bez Prowizji,30-49,Normal,
Poznań,Company post,430000.0,2,44.0,"GRUNWALD Kopernika śliczne , po remoncie , 44 m2",30-49,Normal,9772.727272727272
Żuromin,Company post,240000.0,2,46.5,Sprzedam mieszkanie w Żurominie ul. Przemysłowa,30-49,Normal,5161.290322580645
Opole,Company post,379000.0,2,76.0,"Mieszkanie do własnej aranżacji, świetny układ",75-100,Normal,4986.8421052631575
Hel,Company post,597602.0,2,28.92,2-pokojowy apartament inwestycyjny 28m2 + balkon,<30,Normal,20663.96957123098
Gdańsk,Company post,,3,57.79,3-pokojowe mieszkanie 57m2 + taras Bez Pośredników,50-74,Normal,
Warszawa,Company post,560000.0,3,60.5,Przestronne M3 na Tarchominie!,50-74,Normal,9256.198347107438
Warszawa,Company post,519000.0,2,42.0,"Zamieszkaj przy Magnackiej - 42 m², 2 pokoje, 2010",30-49,Normal,12357.142857142857
Wrocław,Company post,449000.0,2,38.5,Mieszkanie dwupokojowe z balkonem | Nowe Osiedle!,30-49,Normal,11662.337662337663
Warszawa,Company post,698000.0,2,46.95,2 pokoję na Żoliborzu,30-49,Normal,14866.879659211927
Jaworzno,Company post,379000.0,4,70.25,Sprzedam mieszkanie 3-pokojowe 70m² z klimatyzacją,50-74,Normal,5395.017793594306
Gdańsk,Company post,500000.0,3,50.68,3 pokojowe jasne mieszkanie z 2 miejscami w hali,50-74,Normal,9865.824782951855
Łukęcin,Company post,990000.0,3,54.0,"Apartament 3 pokojowy w Łukęcinie, piękna okolica.",50-74,Normal,18333.333333333332
Szczecin,Company post,399000.0,2,55.7,2 pokojowe z balkonem w Zdrojach,50-74,Normal,7163.375224416517
Piaseczno,Company post,670000.0,3,75.92,"3 pokojowe mieszkanie 75,92m2 Piaseczno",75-100,Normal,8825.079030558483
Gdańsk,Company post,1460000.0,3,69.26,"Komfortowy, 3 pokojowy apartament Mila Baltica",50-74,Normal,21079.988449321398
Kielce,Company post,325000.0,2,33.0,Dwupokojowy apartament z 2016 r.,30-49,Normal,9848.484848484848
Zabrze,Company post,,2,44.0,2-pokojowe mieszkanie 44m2 + ogródek,30-49,Normal,
Poznań,Company post,419500.0,2,41.21,MALTA Wołkowyska - 2 pokoje 41m2 z balkonem,30-49,Normal,10179.568066003398
Wieliczka,Company post,373000.0,2,40.1,HALA za 0zł_ GOTOWE 2pok pośród zieleni_ umów się,30-49,Normal,9301.745635910223
Rzeszów,Company post,279680.0,2,30.4,Przytulne Mieszkanie Osiedle Architektów B2.4.M94,30-49,Normal,9200.0
Rzeszów,Company post,314244.0,2,37.41,Mieszkanie Osiedle Architektów B3.1.M117,30-49,Normal,8400.0
Kraków,Company post,901900.0,3,72.15,3-pokojowe mieszkanie 72m2 + balkon,50-74,Normal,12500.346500346499
Poznań,Company post,335000.0,2,37.0,2 pokoje BONIN SOŁACZ balkon oddzielna kuchnia,30-49,Normal,9054.054054054053
Warszawa,Company post,879000.0,3,71.0,"3-pokojowe mieszkanie, Wesoła, Stara Miłosna",50-74,Normal,12380.281690140846
Liszki,Company post,399000.0,3,65.0,Bezczynszowe 65m2 3/4pok z ogródkiem PIERWOTNY,50-74,Normal,6138.461538461538
Katowice,Company post,389000.0,2,38.9,2-pokojowe mieszkanie 38m2 + balkon Bez Prowizji,30-49,Normal,10000.0
Gdynia,Company post,389000.0,3,48.6,"Funkcjonalne, M3 z pięknym widokiem",30-49,Normal,8004.115226337448
Wejherowo,Company post,379999.0,3,58.6,Mieszkanie blisko natury. Wyjątkowa lokalizacja!,50-74,Normal,6484.624573378839
Siemianowice Śląskie,Company post,447000.0,3,64.25,"Komfortowe, nowoczesne mieszkanie",50-74,Normal,6957.198443579767
Pobierowo,Company post,314212.0,2,44.1,apartament nad morzem w super cenie,30-49,Normal,7124.988662131519
Olsztyn,Company post,385000.0,4,59.0,Dla rodziny lub studentów 4pokoje ul. Wyszyńskiego,50-74,Normal,6525.423728813559
Łódź,Company post,,1,37.71,1-pokojowe mieszkanie 37m2 + balkon Bez Prowizji,30-49,Normal,
Rzeszów,Company post,358680.0,2,42.7,Praktyczne Mieszkanie Osiedle Architektów B2.0.M56,30-49,Normal,8400.0
Wrocław,Company post,328000.0,2,36.8,PROMOCJA tylko do PT! Nie przegap okazji_6km Rynek,30-49,Normal,8913.04347826087
Szczecin,Company post,530000.0,1,40.36,Nowe Mieszkanie Emilii Plater A1.8.13,30-49,Normal,13131.81367690783
Wrocław,Company post,329999.0,1,24.0,Hit! Przytulne mieszkanko z ogródkiem na Krzykach,<30,Normal,13749.958333333334
Warszawa,Company post,1330000.0,3,71.4,3 pokoje balkon * idealne dla rodziny z dziećmi *,50-74,Normal,18627.450980392154
Warszawa,Company post,640000.0,3,59.0,"Skorosze - 3 pokoje z mega balkonem, 59m",50-74,Normal,10847.457627118643
Lublin,Company post,,2,36.91,Niezwykłe Mieszkanie Rezydencja Ogród Saski | D5.6,30-49,Normal,
Zielona Góra,Company post,314937.0,4,63.0,Mieszkanie piętro 4 pokoje Zielona Góra-Nowy Świat,50-74,Normal,4999.0
Poznań,Company post,1750000.0,3,95.23,Prestiżowy apartament -Ville Sołackie,75-100,Normal,18376.56200777066
Ogrodowa,Company post,388773.0,2,42.35,L house Ciechocinek - mieszkaj stylowo,30-49,Normal,9180.0
Ogrodowa,Company post,333509.0,1,36.33,L house Ciechocinek - mieszkaj stylowo,30-49,Normal,9179.98898981558
Ogrodowa,Company post,392445.0,2,42.75,L house Ciechocinek - mieszkaj stylowo,30-49,Normal,9180.0
Ogrodowa,Company post,330480.0,1,36.0,L house Ciechocinek - mieszkaj stylowo,30-49,Normal,9180.0
Bydgoszcz,Company post,214000.0,1,30.2,Przestronna kawalerka lub 2 pokoje na 1 piętrze,30-49,Normal,7086.092715231788
Bydgoszcz,Company post,214000.0,1,30.0,Przestronna kawalerka lub 2 pokoje na 1 piętrze,30-49,Normal,7133.333333333333
Toruń,Company post,580000.0,4,187.84,Inwestycja do podziału nawet na 4 mieszkania,>100,Normal,3087.734241908007
Bydgoszcz,Company post,285000.0,2,49.0,"Inwestycja w sercu miasta, 2 mieszkania",30-49,Normal,5816.326530612245
Bydgoszcz,Company post,254500.0,2,52.0,Mieszkanie w centrum - Jagiellońska 12 - 2 pokoje,50-74,Normal,4894.2307692307695
Bydgoszcz,Company post,245050.0,1,38.19,"Inwestycja w sercu miasta, lokal 38m2",30-49,Normal,6416.601204503797
Bydgoszcz,Company post,285000.0,2,38.9,Mieszkanie z balkonem do remontu w kamienicy,30-49,Normal,7326.478149100258
Bydgoszcz,Company post,255000.0,3,41.3,"Inwestycja w sercu miasta, 3 pokoje -> 41m2",30-49,Normal,6174.334140435836
Białystok,Company post,380000.0,3,61.0,Mieszkanie ul. Daleka Białystok prywatnie,50-74,Normal,6229.508196721312
Łódź,Company post,,2,35.82,2-pokojowe mieszkanie 35m2 + balkon Bez Prowizji,30-49,Normal,
Katowice,Company post,479000.0,2,34.84,"Widokowe, Klimatyzowane! Urządzone M-3",30-49,Normal,13748.564867967852
Bielsko-Biała,Company post,349000.0,3,60.23,Okazja! M-4 Z Potencjałem! Balkon,50-74,Normal,5794.454590735514
Bielsko-Biała,Company post,299000.0,2,43.7,Top Lokalizacja! Parter Do Odświeżenia! Balkon!,30-49,Normal,6842.105263157894
Tychy,Company post,379000.0,3,64.5,Widokowe M-4 Do Odświeżenia! 2 Balkony!,50-74,Normal,5875.968992248062
Szczecin,Company post,538900.0,1,41.05,Ustawne Mieszkanie Emilii Plater A1.8.15,30-49,Normal,13127.892813641902
Tychy,Company post,388000.0,3,61.0,Tych ul. Honoraty / po remoncie 0% prowizji,50-74,Normal,6360.6557377049185
Ciechanów,Company post,255000.0,3,53.5,Mieszkanie w centrum miasta z miejscem parkingowym,50-74,Normal,4766.355140186916
Wejherowo,Company post,650000.0,3,82.0,"Mieszkanie "" Sucharskiego"" - wysoki standard",75-100,Normal,7926.829268292683
Wrocław,Company post,558990.0,3,54.6,Gądów Bulwar Piękne 54m2/ 3pok Balkon/Tramwaj,50-74,Normal,10237.912087912087
Warszawa,Company post,760000.0,3,60.0,3 pokojowe | 60 m2 | Loggia 10 m2,50-74,Normal,12666.666666666666
Warszawa,Company post,580000.0,2,43.0,Dwustronne mieszkanie do remontu 43 m2 Wiślana,30-49,Normal,13488.372093023256
Gdańsk,Company post,,2,48.79,2-pokojowe mieszkanie 48m2 + balkon,30-49,Normal,
Warszawa,Company post,629000.0,2,45.24,Stacja Wola // cesja // miejsce postojowe,30-49,Normal,13903.625110521662
Warszawa,Company post,620000.0,1,35.36,Matro Politechnika// osobna kuchnia,30-49,Normal,17533.93665158371
Warszawa,Company post,1349000.0,2,63.13,Trio apartamenty/ dużo drewna / wyposażone / garaż,50-74,Normal,21368.604466972913
Warszawa,Company post,810000.0,3,60.0,Mieszkanie w stylu Glamour 60 m2,50-74,Normal,13500.0
Warszawa,Company post,899000.0,2,50.0,Inwestycja/blisko Centrum/Żoliborz Artystyczny/,50-74,Normal,17980.0
Warszawa,Company post,2690000.0,5,93.0,Plac 3 krzyży / Zabytkowa winda / Klatka główna,75-100,Normal,28924.7311827957
Warszawa,Company post,765000.0,3,59.7,3-stronne//rodzinne//klimatycznie//zielono,50-74,Normal,12814.070351758794
Warszawa,Company post,649000.0,3,61.0,Przestronne gotowe do zamieszkania/blisko centrum/,50-74,Normal,10639.344262295082
Warszawa,Company post,432000.0,1,32.0,Kawalerka gotowa do zamieszkania/Zacisze/,30-49,Normal,13500.0
Warszawa,Company post,727000.0,4,74.21,"Nowe Mieszkanie |74m2, 4 pokoje |Parking podziemny",50-74,Normal,9796.523379598437
Warszawa,Company post,785900.0,2,54.2,Hubertus | Cisza | Garaż podziemny,50-74,Normal,14500.0
Warszawa,Company post,2299000.0,5,124.0,Apartament w prestiżowej kamienicy na Powiślu,>100,Normal,18540.322580645163
Warszawa,Company post,920000.0,3,65.4,3 pokoje | Nowoczesne osiedle Wzgórze Słowików,50-74,Normal,14067.278287461773
Warszawa,Company post,1340820.0,3,68.76,Inwestycja/Centrum/Apartament/Panorama/Zachód/68m2,50-74,Normal,19500.0
Warszawa,Company post,1115000.0,3,91.0,Przestronne | duże okna | 90 m2,75-100,Normal,12252.747252747253
Warszawa,Company post,2049000.0,4,145.0,Metro Rondo Daszyńskiego I Warsaw Spire I Premium,>100,Normal,14131.034482758621
Warszawa,Company post,299000.0,2,36.97,Ustawne 2 pokoje do remontu - Warszawa Rembertów,30-49,Normal,8087.638625912902
Warszawa,Company post,319631.0,1,18.43,Inwestycja/Apartament/Nowoczesne/Deweloperski/18m2,<30,Normal,17342.97341291373
Warszawa,Company post,509654.0,2,31.63,Inwestycja/Apartament/Nowoczesne/31m2,30-49,Normal,16112.993993044578
Warszawa,Company post,889000.0,5,97.7,Dla rodziny/ Dwupoziomowe/ Dwa miejsca parkingowe,75-100,Normal,9099.283520982599
Warszawa,Company post,529000.0,1,32.0,Przytulna kawalerka z widokiem na centrum Warszawy,30-49,Normal,16531.25
Warszawa,Company post,903639.0,2,45.87,Deweloperski/wysoki standard/inwestycja/centrum/45,30-49,Normal,19700.0
Warszawa,Company post,644052.0,1,44.96,Inwestycja/Blisko Śródmieścia/Park/45m2,30-49,Normal,14325.0
Ząbki,Company post,1027000.0,4,130.0,Top Penthouse/Widok na las/2 poziomy/Umeblowany/,>100,Normal,7900.0
Warszawa,Company post,940000.0,4,93.0,Dobra lokalizacja | optymalny rozkład | 2 balkony,75-100,Normal,10107.52688172043
Kraków,Company post,989000.0,4,85.26,4-pokojowe mieszkanie 85m2 + loggia,75-100,Normal,11599.812338728594
Wilczyce,Company post,658000.0,5,115.0,Apartament Małe Wilczyce/Psie Pole,>100,Normal,5721.739130434783
Włocławek,Company post,290000.0,2,41.0,M-2 Michelin 2 piętro Nowy bloku z windą,30-49,Normal,7073.170731707317
Wrocław,Company post,634445.0,4,72.23,4-pokojowe mieszkanie 72m2 + ogródek Bezpośrednio,50-74,Normal,8783.67714246158
Tychy,Company post,479000.0,3,73.12,"Poddasze oś.C - 73,12m2",50-74,Normal,6550.8752735229755
Kraków,Company post,691424.0,2,42.16,2-pokojowe mieszkanie 42m2 + ogródek Bezpośrednio,30-49,Normal,16400.0
Bydgoszcz,Company post,405000.0,3,55.4,"Bez pośredników, 3 pokoje Wgórze Wolności",50-74,Normal,7310.4693140794225
Bydgoszcz,Company post,375000.0,3,51.41,"M-4 Bielawy,Loggia, winda",50-74,Normal,7294.300719704338
Oława,Company post,410000.0,3,63.0,Sprzedam Mieszkanie 3 pokojowe ul. 3 Maja,50-74,Normal,6507.936507936508
Łódź,Company post,259000.0,2,50.6,NAJNIŻSZA CENA na BAŁUTACH 5100 za mkw,50-74,Normal,5118.577075098814
Bydgoszcz,Company post,419000.0,4,64.0,M5 - WYŻYNY - BEZ PROWIZJI!,50-74,Normal,6546.875
Wrocław,Company post,629000.0,3,58.2,Mieszkanie 3 pokojowe ul.Graniczna,50-74,Normal,10807.560137457043
Warszawa,Company post,,5,90.54,5-pokojowe mieszkanie 90m2 + 2 balkony,75-100,Normal,
Katowice,Company post,578340.0,4,68.04,4-pokojowe mieszkanie 68m2 + balkon Bez Prowizji,50-74,Normal,8500.0
Szczecin,Company post,530000.0,1,40.36,Nowe Mieszkanie w inwestycji Emilii Plater A1.8.17,30-49,Normal,13131.81367690783
Niwica,Company post,165000.0,4,112.45,Mieszkanie 4-pokojowe w Niwicy,>100,Normal,1467.3188083592709
Bydgoszcz,Company post,299000.0,2,31.0,M3- Górzyskowo - DO WPROWADZENIA - 0% PROWIZJI!,30-49,Normal,9645.161290322581
Bydgoszcz,Company post,287000.0,3,58.06,"M-4 ""Cudne Chmielniki""k/Bydgoszczy",50-74,Normal,4943.162245952462
Bydgoszcz,Company post,348000.0,3,61.4,"M-4 Nowe Osiedle ""Cudne Chmielniki"" k/Bydgoszczy",50-74,Normal,5667.7524429967425
Bydgoszcz,Company post,277000.0,3,58.3,"M-4 ""Cudne Chmielniki""k/Bydgoszczy",50-74,Normal,4751.286449399658
Bydgoszcz,Company post,277000.0,3,58.0,"M-4 ""Cudne Chmielniki""k/Bydgoszczy",50-74,Normal,4775.862068965517
Kraków,Company post,478000.0,2,44.39,2-pok | 2022 | Płaszów | 10768 zł / m2,30-49,Normal,10768.19103401667
Bydgoszcz,Company post,349000.0,3,61.4,"M-4 Nowe Osiedle ""Cudne Chmielniki"" k/Bydgoszczy",50-74,Normal,5684.039087947883
Prądocin,Company post,347000.0,3,61.0,"M-4 Nowe Osiedle ""Cudne Chmielniki"" k/Bydgoszczy",50-74,Normal,5688.524590163935
Kraków,Company post,600000.0,2,50.81,Mieszkanie 2-pok. w Bronowicach Małych,50-74,Normal,11808.69907498524
Szczecin,Company post,450000.0,2,42.33,"Jasne mieszkanie 42,33m2 w nowoczesnym budynku",30-49,Normal,10630.758327427357
Kraków,Company post,460000.0,2,35.4,"2 pokoje na parterze przy ul. Różyckiego, Azory",30-49,Normal,12994.350282485877
Bydgoszcz,Company post,347000.0,3,61.4,"M-4 Nowe Osiedle ""Cudne Chmielniki"" k/Bydgoszczy",50-74,Normal,5651.465798045603
Bydgoszcz,Company post,349000.0,3,61.0,"M-4 Nowe Osiedle ""Cudne Chmielniki"" k/Bydgoszczy",50-74,Normal,5721.311475409836
Gdańsk,Company post,650000.0,2,47.67,Osobna Kuchnia | Ostatnie Piętro | Hala Garażowa,30-49,Normal,13635.410111181036
Gdańsk,Company post,570000.0,2,55.3,Wysoki Parter | Dwustronne | Osobna Kuchnia,50-74,Normal,10307.41410488246
Gdańsk,Company post,550000.0,2,43.59,os. Gardenia| Umeblowane | z Garderobą,30-49,Normal,12617.572837806836
Gdańsk,Company post,880000.0,4,85.2,Słoneczne 4 Pokoje Dla Rodziny| Morena| Niski Blok,75-100,Normal,10328.638497652582
Gdańsk,Company post,800000.0,3,61.0,W Pełni Wyposażone| Ogródek | Wyjątkowe,50-74,Normal,13114.754098360656
Gdańsk,Company post,570000.0,3,63.4,Morena/ otwarta przestrzeń / blisko tramwaj,50-74,Normal,8990.536277602523
Gdańsk,Company post,799000.0,3,67.63,Studio Morena | Słoneczne | Duży Salon,50-74,Normal,11814.283601951798
Michałów-Grabina,Company post,,3,56.48,3-pokojowe mieszkanie 56m2 + balkon Bez Prowizji,50-74,Normal,
Gdańsk,Company post,1400000.0,4,86.0,Dla Rodziny | 2 Miejsca W Hali | Wykończone,75-100,Normal,16279.06976744186
Bydgoszcz,Company post,429000.0,4,64.0,M5 - Wyżyny - 0% prowizji!,50-74,Normal,6703.125
Kraków,Company post,549000.0,3,58.2,Prądnik Czerwony - 3 pokoje - 9400 zł / m2,50-74,Normal,9432.98969072165
Tychy,Company post,299000.0,3,47.6,"Mieszkanie, 47,60 m², Tychy",30-49,Normal,6281.512605042017
Kraków,Company post,650000.0,3,55.53,"3 pokoje z balkonem, Grabczaka, Prądnik Czerwony",50-74,Normal,11705.384476859355
Kraków,Company post,599000.0,3,51.56,3 pokoje / 2 balkony / os Avia,50-74,Normal,11617.532971295577
Rzeszów,Company post,279680.0,2,30.4,Ustawne Mieszkanie na Osiedlu Architektów B2.3.M79,30-49,Normal,9200.0
Kraków,Company post,780000.0,3,71.0,Mieszkanie na Krowodrzy o doskonałym rozkładzie,50-74,Normal,10985.915492957747
Łódź,Company post,469000.0,3,69.3,Rozkładowe M4 w sąsiedztwie ogrodu Botanicznego!,50-74,Normal,6767.676767676768
Bydgoszcz,Company post,399000.0,3,53.0,M4 Kapuściska - do wprowadzenia - 0% prowizji!,50-74,Normal,7528.301886792453
Mierzyn,Company post,553000.0,3,67.46,★Trzy pokoje - ogródek - 2 m.postojowe - MIERZYN★,50-74,Normal,8197.450340942782
Łódź,Company post,319700.0,3,51.0,Zarzew 3 pokoje Balkon Winda BEZPOŚREDNIO!,50-74,Normal,6268.6274509803925
Nowa Wola,Company post,499900.0,3,63.8,3-pokojowe mieszkanie 63m2 + ogródek Bez Prowizji,50-74,Normal,7835.423197492163
Siemianowice Śląskie,Company post,270000.0,2,51.05,Duże 2 pokoje w bloku z 1990 roku,50-74,Normal,5288.932419196866
Poznań,Company post,899000.0,3,74.0,"Nowy apartament z wyposażeniem (FV VAT, bez PCC)",50-74,Normal,12148.648648648648
Szczecin,Company post,543000.0,1,41.28,Nowe Mieszkanie Emilii Plater A1.9.11,30-49,Normal,13154.06976744186
Rzeszów,Company post,385000.0,2,53.0,❤ Mieszkanie na sprzedaż ❤ Przestronne | Balkon,50-74,Normal,7264.1509433962265
Józefosław,Company post,985000.0,5,86.0,"Mieszkanie 86 m², garaż, 5 pok. Józefosław",75-100,Normal,11453.488372093023
Wrocław,Company post,830000.0,3,72.0,"Przestronne, 3-pok. mieszkanie Oporów! JAK NOWE",50-74,Normal,11527.777777777777
Elbląg,Company post,110000.0,2,26.0,Mieszkanie do remontu,<30,Normal,4230.7692307692305
Michałów-Grabina,Company post,,3,61.9,3-pokojowe mieszkanie 61m2 + ogródek,50-74,Normal,
Bydgoszcz,Company post,339000.0,2,38.0,M3 Bartodzieje - DO WPROWADZENIA - 0% prowizji!,30-49,Normal,8921.052631578947
Bydgoszcz,Company post,249999.0,1,32.0,TYLKO U NAS!!! Kawalerka,30-49,Normal,7812.46875
Kraków,Company post,680000.0,2,46.0,Dwa pokoje z dużym balkonem w świetnej lokalizacji,30-49,Normal,14782.608695652174
Warszawa,Company post,1315000.0,2,56.96,"metro centrum, 2 pokoje, ciche i widne, wysokie",50-74,Normal,23086.376404494382
Zabrze,Company post,,3,61.0,3-pokojowe mieszkanie 61m2 + balkon Bez Prowizji,50-74,Normal,
Warszawa,Company post,779600.0,2,38.98,Odrestaurowana kamienica,30-49,Normal,20000.0
Warszawa,Company post,1550000.0,3,96.26,3 pokoje/wysoki standard/Miasteczko Wilanów,75-100,Normal,16102.223145647205
Warszawa,Company post,890000.0,2,58.0,Jasne Mieszkanie z Ogrodem,50-74,Normal,15344.827586206897
Radom,Company post,230000.0,2,36.4,"Mieszkanie 2pok winda balkon, bez piecyka 36.4 m",30-49,Normal,6318.681318681319
Katowice,Company post,571536.0,4,68.04,4-pokojowe mieszkanie 68m2 + balkon Bez Prowizji,50-74,Normal,8400.0
Szczecin,Company post,531200.0,1,40.36,Nowe Mieszkanie w inwestycji Emilii Plater A1.9.12,30-49,Normal,13161.546085232903
Poznań,Company post,430000.0,3,63.0,Przestronne i wygodne mieszkania na os. Rusa!,50-74,Normal,6825.396825396825
